LINE TYPE,CHARGE CODE/ PACKAGE,CHARGE DESCRIPTION,DRG,CPT,HCPCS,MODIFIER,REV CODE,NDC,GROSS CHARGES,SELF PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,Aetna US Healthcare PPO/POS Out Net IP Rate,Aetna US Healthcare PPO/POS Out Net OP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO IP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO OP Rate,  Beech Street PPO IP Rate,  Beech Street PPO OP Rate,Blue Cross of California HMO/POS In Net IP Rate,Blue Cross of California HMO/POS In Net OP Rate,Blue Cross of California HMO/POS/PPO** IP Rate,Blue Cross of California HMO/POS/PPO** OP Rate,Blue Cross of California PPO/POS Out Net IP Rate,Blue Cross of California PPO/POS Out Net OP Rate,Blue Shield of California HMO/POS/PPO** IP Rate,Blue Shield of California HMO/POS/PPO** OP Rate,CalOPTIMA Direct IP Rate,CalOPTIMA Direct OP Rate,  CalOPTIMA Direct Medi-Cal Expansion IP Rate,  CalOPTIMA Direct Medi-Cal Expansion OP Rate,  CalOPTIMA OneCare IP Rate,  CalOPTIMA OneCare OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA OP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie IP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie OP Rate,Cigna EPO/PPO** IP Rate,Cigna EPO/PPO** OP Rate,Cigna Healthcare of California HMO/POS In Net IP Rate,Cigna Healthcare of California HMO/POS In Net OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA OP Rate,Health Net PPO/POS Out Net** IP Rate,Health Net PPO/POS Out Net** OP Rate,  Humana ChoiceCare PPO IP Rate,  Humana ChoiceCare PPO OP Rate,Inland Empire Health Plan Medi-Cal IP Rate,Inland Empire Health Plan Medi-Cal OP Rate,  Interplan Corporation PPO IP Rate,  Interplan Corporation PPO OP Rate,  La Salle Medical Associates HMO/POS In Net IP Rate,  La Salle Medical Associates HMO/POS In Net OP Rate,  Medi-Cal Out of County-LA Care IP Rate,  Medi-Cal Out of County-LA Care OP Rate,  Molina Medi-Cal IP Rate,  Molina Medi-Cal OP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima IP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima OP Rate,  MultiPlan PPO IP Rate,  MultiPlan PPO OP Rate,  National Provider Network PPO IP Rate,  National Provider Network PPO OP Rate,  PPO NEXT PPO IP Rate,  PPO NEXT PPO OP Rate,  Prospect Medical and Its Affiliated Medical Groups IP Rate,  Prospect Medical and Its Affiliated Medical Groups OP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal IP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal OP Rate,  Three Rivers Provider Network (TRPN) PPO IP Rate,  Three Rivers Provider Network (TRPN) PPO OP Rate,  UCI Medical Group HMO/POS in Net IP Rate,  UCI Medical Group HMO/POS in Net OP Rate,UnitedHealthcare HMO/POS In Net IP Rate,UnitedHealthcare HMO/POS In Net OP Rate,UnitedHealthcare PPO/POS Out Net IP Rate,UnitedHealthcare PPO/POS Out Net OP Rate,  USA Health Network PPO IP Rate,  USA Health Network PPO OP Rate
CDM,6596376,ROOM/BED: MENTAL HEALTH,,,,,114,,"$8,297.00","$8,297.00",$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM,6424685,ROOM/BED: 3-ICU TRAUMA,,,,,208,,"$21,076.00","$21,076.00",$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM,6424687,ROOM/BED: 4-ICU TRAUMA,,,,,208,,"$21,076.00","$21,076.00",$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM,4349017,PNEUMOCOCCAL 13-VALENT VACCINE 0.5 ML INJ,,90670,,,250,00005-1971-02,$636.28,$636.28,$234.60,$579.46,,$330.87,,$381.77,,$509.02,,$488.79,,$521.75,,$488.79,,$413.58,,$312.02,,$312.02,,$312.02,,,$234.60,,$234.60,,$234.60,,$413.58,$234.60,,$425.04,,$509.02,,$579.46,,$509.02,,$413.58,,$304.98,,$269.79,,$234.60,,$509.02,,$540.84,,$509.02,,$349.95,,$234.60,,$572.65,,$413.58,,$365.86,,$365.86,,$540.84
CDM,6468448,MENINGOCOCCAL CONJUGATE VAC (MENVEO) 0.5 ML INJ,,90734,J7799,,250,46028-0208-01,$958.95,$958.95,$134.00,$863.06,,$498.65,,$575.37,,$767.16,,$736.67,,$786.34,,$736.67,,$623.32,,$178.22,,$178.22,,$178.22,,,$134.00,,$134.00,,$134.00,,$623.32,$134.00,,$640.58,,$767.16,,$330.98,,$767.16,,$623.32,,$174.20,,$154.10,,$134.00,,$767.16,,$815.11,,$767.16,,$527.42,,$134.00,,$863.06,,$623.32,,$551.40,,$551.40,,$815.11
CDM,6612934,"T-NS+20 MEQ K ACETATE+20 MEQ K PHOS 1,000 ML",,90779,,,250,9999-999-370,$350.80,$350.80,$182.42,$315.72,,$182.42,,$210.48,,$280.64,,$269.48,,$287.66,,$269.48,,$228.02,,,,,,,,,,,,,,,$228.02,,,$234.33,,$280.64,,,,$280.64,,$228.02,,,,,,,,$280.64,,$298.18,,$280.64,,$192.94,,,,$315.72,,$228.02,,$201.71,,$201.71,,$298.18
CDM,3298855,"THROMBIN, TOPICAL POWDER (RECOMBINANT) 5,000 UNITS",,90799,J3490,,250,28400-0105-41,"$2,210.70","$2,210.70","$1,149.56","$1,989.63",,"$1,149.56",,"$1,326.42",,"$1,768.56",,"$1,698.26",,"$1,812.77",,"$1,698.26",,"$1,436.95",,,,,,,,,,,,,,,"$1,436.95",,,"$1,476.75",,"$1,768.56",,,,"$1,768.56",,"$1,436.96",,,,,,,,"$1,768.56",,"$1,879.10",,"$1,768.56",,"$1,215.89",,,,"$1,989.63",,"$1,436.96",,"$1,271.15",,"$1,271.15",,"$1,879.10"
CDM,996366,TNF_BULK,,,,,250,00000-0000-01,$45.61,$45.61,$23.72,$41.05,,$23.72,,$27.37,,$36.49,,$35.04,,$37.40,,$35.04,,$29.65,,,,,,,,,,,,,,,$29.65,,,$30.47,,$36.49,,,,$36.49,,$29.65,,,,,,,,$36.49,,$38.77,,$36.49,,$25.09,,,,$41.05,,$29.65,,$26.23,,$26.23,,$38.77
CDM,996368,TNF_CONTINUOUS,,,,,250,00000-0000-03,$87.95,$87.95,$45.73,$79.16,,$45.73,,$52.77,,$70.36,,$67.56,,$72.12,,$67.56,,$57.17,,,,,,,,,,,,,,,$57.17,,,$58.75,,$70.36,,,,$70.36,,$57.17,,,,,,,,$70.36,,$74.76,,$70.36,,$48.37,,,,$79.16,,$57.17,,$50.57,,$50.57,,$74.76
CDM,1156101,TNF_INVESTIGATIONAL_IV,,,,,250,99999-9999-23,$231.10,$231.10,$120.17,$207.99,,$120.17,,$138.66,,$184.88,,$177.53,,$189.50,,$177.53,,$150.22,,,,,,,,,,,,,,,$150.22,,,$154.37,,$184.88,,,,$184.88,,$150.22,,,,,,,,$184.88,,$196.44,,$184.88,,$127.11,,,,$207.99,,$150.22,,$132.88,,$132.88,,$196.44
